cohort_month,order_month,month_index,cohort_revenue,active_customers
2022-05,2023-05,12,416789.49,153
2022-06,2022-06,0,1434293.2,487
2022-06,2022-07,1,506349.81,119
2022-06,2022-08,2,431097.08,96
2022-06,2022-09,3,210667.97,118
2022-06,2022-10,4,2042095.72,110
2022-06,2022-11,5,183097.45,113
2022-06,2022-12,6,948366.49,117
2022-06,2023-01,7,581220.92,99
2022-06,2023-02,8,146545.49,102
2022-06,2023-03,9,267300.52,130
2022-06,2023-04,10,397487.23,122
2022-06,2023-05,11,1315854.92,121
2022-06,2023-06,12,741865.44,109
2022-07,2022-07,0,3177781.76,365
2022-07,2022-08,1,315735.75,96
2022-07,2022-09,2,182609.97,74
2022-07,2022-10,3,1665771.24,95
2022-07,2022-11,4,245131.1,86
2022-07,2022-12,5,1218637.84,102
2022-07,2023-01,6,171201.07,89
2022-07,2023-02,7,509254.66,91
2022-07,2023-03,8,492441.39,87
2022-07,2023-04,9,166848.79,82
2022-07,2023-05,10,944077.61,75
2022-07,2023-06,11,1744921.27,98
2022-07,2023-07,12,321033.21,80
2022-08,2022-08,0,1289042.07,245
2022-08,2022-09,1,129713.84,62
2022-08,2022-10,2,154271.86,64
2022-08,2022-11,3,195120.43,70
2022-08,2022-12,4,339589.44,52
2022-08,2023-01,5,958258.75,62
2022-08,2023-02,6,115400.4,66
2022-08,2023-03,7,309966.34,63
2022-08,2023-04,8,110021.0,55
2022-08,2023-05,9,148006.84,60
2022-08,2023-06,10,124362.8,64
2022-08,2023-07,11,151944.61,63
2022-08,2023-08,12,153150.52,54
2022-09,2022-09,0,872671.67,191
2022-09,2022-10,1,293622.97,56
2022-09,2022-11,2,253353.26,37
2022-09,2022-12,3,255012.15,38
2022-09,2023-01,4,94522.24,55
2022-09,2023-02,5,79144.64,51
2022-09,2023-03,6,94368.61,49
2022-09,2023-04,7,41496.67,35
2022-09,2023-05,8,422653.56,49
2022-09,2023-06,9,109180.56,46
2022-09,2023-07,10,1371767.81,46
2022-09,2023-08,11,88730.67,50
2022-09,2023-09,12,687744.87,45
2022-10,2022-10,0,2704011.36,193
2022-10,2022-11,1,231803.08,41
2022-10,2022-12,2,307703.27,55
2022-10,2023-01,3,66412.98,41
2022-10,2023-02,4,83681.9,43
2022-10,2023-03,5,126708.86,51
2022-10,2023-04,6,271767.05,44
2022-10,2023-05,7,84989.69,40
2022-10,2023-06,8,186651.87,39
2022-10,2023-07,9,79281.87,42
2022-10,2023-08,10,82852.44,40
2022-10,2023-09,11,93241.35,43
2022-10,2023-10,12,403378.23,42
2022-11,2022-11,0,1089879.98,122
2022-11,2022-12,1,36742.16,23
2022-11,2023-01,2,71654.04,34
2022-11,2023-02,3,432385.14,31
2022-11,2023-03,4,33413.39,27
2022-11,2023-04,5,48489.49,26
2022-11,2023-05,6,36176.14,22
2022-11,2023-06,7,59858.58,31
2022-11,2023-07,8,40378.89,27
2022-11,2023-08,9,539619.22,35
2022-11,2023-09,10,56417.98,35
2022-11,2023-10,11,215814.84,30
2022-11,2023-11,12,1377029.42,25
2022-12,2022-12,0,330805.56,122
2022-12,2023-01,1,433235.01,24
2022-12,2023-02,2,27880.23,20
2022-12,2023-03,3,817329.76,28
2022-12,2023-04,4,87830.56,29
2022-12,2023-05,5,78026.83,29
2022-12,2023-06,6,63614.15,30
2022-12,2023-07,7,26993.5,26
2022-12,2023-08,8,33846.63,27
2022-12,2023-09,9,125048.36,34
2022-12,2023-10,10,1044986.18,30
2022-12,2023-11,11,259802.49,32
2022-12,2023-12,12,66997.86,40
2023-01,2023-01,0,155503.98,59
2023-01,2023-02,1,25898.21,14
2023-01,2023-03,2,20193.72,14
2023-01,2023-04,3,25108.59,15
2023-01,2023-05,4,27412.71,13
2023-01,2023-06,5,26500.61,12
2023-01,2023-07,6,30885.31,15
2023-01,2023-08,7,28673.4,16
2023-01,2023-09,8,10506.14,9
2023-01,2023-10,9,22946.55,12
2023-01,2023-11,10,27599.44,14
2023-01,2023-12,11,41057.23,24
2023-01,2024-01,12,14718.55,14
2023-02,2023-02,0,80728.23,58
2023-02,2023-03,1,31906.7,17
2023-02,2023-04,2,21600.83,15
2023-02,2023-05,3,12925.61,8
2023-02,2023-06,4,36619.24,16
2023-02,2023-07,5,39302.05,20
2023-02,2023-08,6,17960.83,14
2023-02,2023-09,7,23335.32,15
2023-02,2023-10,8,584856.12,15
2023-02,2023-11,9,34379.72,10
2023-02,2023-12,10,193489.09,12
2023-02,2024-01,11,13911.74,14
2023-02,2024-02,12,17708.28,13
2023-03,2023-03,0,64095.98,40
2023-03,2023-04,1,12853.36,7
2023-03,2023-05,2,38805.99,18
2023-03,2023-06,3,27538.51,10
2023-03,2023-07,4,20176.54,9
2023-03,2023-08,5,809170.29,9
2023-03,2023-09,6,14363.58,6
2023-03,2023-10,7,15889.73,8
2023-03,2023-11,8,26459.68,13
2023-03,2023-12,9,18791.38,9
2023-03,2024-01,10,12736.33,10
2023-03,2024-02,11,11893.55,8
2023-03,2024-03,12,10580.15,9
2023-04,2023-04,0,221255.53,28
2023-04,2023-05,1,3645.43,4
2023-04,2023-06,2,344069.35,7
2023-04,2023-07,3,15074.78,7
2023-04,2023-08,4,7071.69,6
2023-04,2023-09,5,1043464.84,11
2023-04,2023-10,6,732.03,3
2023-04,2023-11,7,9283.93,7
2023-04,2023-12,8,2698.71,2
2023-04,2024-01,9,23557.29,6
2023-04,2024-02,10,12840.56,7
2023-04,2024-03,11,9445.51,5
2023-04,2024-04,12,6717.6,6
2023-05,2023-05,0,520652.69,26
2023-05,2023-06,1,15513.95,5
2023-05,2023-07,2,14421.65,6
2023-05,2023-08,3,28896.22,9
2023-05,2023-09,4,20058.08,8
2023-05,2023-10,5,2077.52,3
2023-05,2023-11,6,17736.39,8
2023-05,2023-12,7,4556.01,7
2023-05,2024-01,8,14994.92,12
2023-05,2024-02,9,17926.56,7
2023-05,2024-03,10,27463.36,10
2023-05,2024-04,11,9862.64,9
2023-05,2024-05,12,24346.99,9
2023-06,2023-06,0,44064.76,21
2023-06,2023-07,1,3845.55,4
2023-06,2023-08,2,3423.02,5
2023-06,2023-09,3,6947.86,5
2023-06,2023-10,4,14529.36,6
2023-06,2023-11,5,5608.81,6
2023-06,2023-12,6,1543.25,4
2023-06,2024-01,7,8129.04,5
2023-06,2024-02,8,2749.22,3
2023-06,2024-03,9,4508.26,4
2023-06,2024-04,10,2737.62,4
2023-06,2024-05,11,10640.92,6
2023-06,2024-06,12,5396.87,4
2023-07,2023-07,0,25199.34,15
2023-07,2023-08,1,13165.72,4
2023-07,2023-09,2,4012.67,4
2023-07,2023-10,3,9249.82,4
2023-07,2023-11,4,3233.09,2
2023-07,2023-12,5,6853.92,3
2023-07,2024-01,6,5957.21,3
2023-07,2024-02,7,3351.86,5
2023-07,2024-03,8,9210.79,5
2023-07,2024-04,9,15854.76,4
2023-07,2024-05,10,317.35,1
2023-07,2024-06,11,7605.62,4
2023-07,2024-07,12,23152.55,10
2023-08,2023-08,0,8046.97,8
2023-08,2023-09,1,3744.93,3
2023-08,2023-10,2,2661.62,1
2023-08,2023-11,3,4457.14,2
2023-08,2023-12,4,170701.92,3
2023-08,2024-01,5,1280.41,1
2023-08,2024-03,7,8287.96,3
2023-08,2024-04,8,3231.49,1
2023-08,2024-05,9,2382.32,1
2023-08,2024-06,10,5532.72,1
2023-08,2024-08,12,5660.02,3
2023-09,2023-09,0,21184.61,9
2023-09,2023-10,1,11970.55,3
2023-09,2023-11,2,2841.17,3
2023-09,2023-12,3,485.95,1
2023-09,2024-01,4,2828.01,1
2023-09,2024-02,5,3717.85,4
2023-09,2024-03,6,8772.97,3
2023-09,2024-04,7,6404.67,1
2023-09,2024-05,8,5692.83,3
2023-09,2024-06,9,7839.72,3
2023-09,2024-07,10,22.68,1
2023-09,2024-08,11,8643.34,2
2023-09,2024-09,12,2909.06,1
2023-10,2023-10,0,19306.85,8
2023-10,2023-11,1,7168.26,3
2023-10,2023-12,2,5030.55,1
2023-10,2024-01,3,216.76,1
2023-10,2024-02,4,1247.01,3
2023-10,2024-04,6,204.49,1
2023-10,2024-05,7,7768.88,3
2023-10,2024-06,8,2748.49,2
2023-10,2024-07,9,686913.26,2
2023-10,2024-08,10,7522.37,3
2023-10,2024-09,11,8684.11,2
2023-10,2024-10,12,2355.57,1
2023-11,2023-11,0,3777.45,2
2023-11,2024-02,3,145.09,1
2023-11,2024-05,6,1609.38,1
2023-11,2024-09,10,583.14,1
2023-11,2024-11,12,303.47,1
2023-12,2023-12,0,2373.49,1
2023-12,2024-09,9,3039.06,1
2023-12,2024-10,10,13.2,1
2024-01,2024-01,0,11019.67,6
2024-01,2024-02,1,231.89,1
2024-01,2024-03,2,984.3,2
2024-01,2024-04,3,11441.25,2
2024-01,2024-06,5,1251.5,1
2024-01,2024-07,6,281.74,1
2024-01,2024-08,7,1470.56,2
2024-01,2024-09,8,1117.83,1
2024-01,2024-10,9,1147.52,1
2024-01,2024-11,10,362.48,1
2024-01,2024-12,11,9178.58,3
2024-02,2024-02,0,1632.61,2
2024-02,2024-05,3,727.79,1
2024-02,2024-11,9,258.33,1
2024-02,2024-12,10,104.8,1
2024-03,2024-03,0,10502.35,2
2024-03,2024-07,4,39.91,1
2024-03,2024-10,7,751.36,1
2024-05,2024-10,5,397.06,1
2024-06,2024-06,0,5042.25,1
2024-06,2024-08,2,603.84,1
2024-06,2024-09,3,3333.79,1
2024-06,2024-11,5,1264.21,1
2024-07,2024-07,0,3419.58,1
