order_date,daily_revenue,rolling_90d_revenue,days_in_window
2022-11-18,538972.34,40424540.16,90
2022-11-19,218845.29,40572448.12,90
2022-11-20,90833.85,40548069.55,90
2022-11-21,806571.91,41273461.83,90
2022-11-22,162245.17,41314036.37,90
2022-11-23,101240.07,41295930.89,90
2022-11-24,169793.74,40576834.96,90
2022-11-25,118009.0,39020147.38,90
2022-11-26,879160.22,39814512.46,90
2022-11-27,293060.1,39998572.52,90
2022-11-28,119408.3,40042804.45,90
2022-11-29,525226.84,39836217.19,90
2022-11-30,117430.32,39258544.24,90
2022-12-01,226376.44,38574335.18,90
2022-12-02,720229.95,39156436.15,90
2022-12-03,428844.98,39498931.71,90
2022-12-04,328032.84,39702098.82,90
2022-12-05,578370.15,40168916.91,90
2022-12-06,114610.57,40143219.26,90
2022-12-07,993431.23,41068683.81,90
2022-12-08,99051.52,41043606.71,90
2022-12-09,102789.71,41053531.55,90
2022-12-10,111756.69,41036436.8,90
2022-12-11,161656.59,41055526.56,90
2022-12-12,476513.77,41419880.06,90
2022-12-13,249755.81,41389035.97,90
2022-12-14,218162.59,41473443.24,90
2022-12-15,1265405.35,42648001.94,90
2022-12-16,1029224.48,41511454.19,90
2022-12-17,1927682.27,43280529.43,90
2022-12-18,108598.45,42892413.39,90
2022-12-19,270571.76,43037817.41,90
2022-12-20,115371.66,42812140.5,90
2022-12-21,104541.5,42146577.65,90
2022-12-22,300913.68,42137801.46,90
2022-12-23,1033342.39,43088671.6,90
2022-12-24,156071.46,43135355.08,90
2022-12-25,87629.03,42089407.97,90
2022-12-26,110079.6,42043875.08,90
2022-12-27,111463.52,42073631.98,90
2022-12-28,165307.6,41977024.18,90
2022-12-29,932903.41,42619069.86,90
2022-12-30,1183319.05,43690403.81,90
2022-12-31,528850.92,43681110.91,90
2023-01-01,84369.94,43156843.55,90
2023-01-02,585365.6,43197810.41,90
2023-01-03,74663.43,42140590.54,90
2023-01-04,104374.57,41749737.49,90
2023-01-05,113587.25,41285217.8,90
2023-01-06,96792.42,40892083.14,90
2023-01-07,601980.58,40573842.81,90
2023-01-08,491473.37,39785606.34,90
2023-01-09,296240.24,39697013.24,90
2023-01-10,119398.48,39339253.38,90
2023-01-11,116501.29,39160379.22,90
2023-01-12,144013.25,38833609.84,90
2023-01-13,1291277.61,40001764.83,90
2023-01-14,130665.75,39640523.25,90
2023-01-15,1281591.93,39622182.95,90
2023-01-16,109170.77,39123414.65,90
2023-01-17,133139.71,38624268.92,90
2023-01-18,485553.41,36688133.94,90
2023-01-19,203707.8,36399822.29,90
2023-01-20,308654.11,36024072.76,90
2023-01-21,121226.66,35619214.02,90
2023-01-22,574236.61,35452038.48,90
2023-01-23,328712.99,35637337.99,90
2023-01-24,1110679.3,36443237.03,90
2023-01-25,183575.41,35676360.45,90
2023-01-26,147830.21,35398396.09,90
2023-01-27,480685.1,35707956.33,90
2023-01-28,323101.99,35916456.66,90
2023-01-29,485352.77,36261267.1,90
2023-01-30,91429.62,35808574.55,90
2023-01-31,1550714.06,37292757.61,90
2023-02-01,135864.05,37285681.62,90
2023-02-02,795685.46,37433765.67,90
2023-02-03,105477.61,37275993.22,90
2023-02-04,364608.68,37435359.61,90
2023-02-05,78579.78,37262711.11,90
2023-02-06,1100660.23,36539740.88,90
2023-02-07,274640.28,36311234.83,90
2023-02-08,606399.81,36021795.87,90
2023-02-09,255426.66,36199849.63,90
2023-02-10,1467925.18,37312118.78,90
2023-02-11,134409.41,36961703.89,90
2023-02-12,114439.41,36971250.99,90
2023-02-13,1148192.96,37779425.03,90
2023-02-14,993130.61,38632952.37,90
2023-02-15,483722.78,38610885.26,90
2023-02-16,169014.42,38240927.34,90
2023-02-17,293665.81,38315747.86,90
2023-02-18,146084.37,38370998.38,90
2023-02-19,601415.37,38165841.84,90
2023-02-20,1329807.33,39333404.0,90
2023-02-21,538890.3,39771054.23,90
2023-02-22,463767.3,40065027.79,90
2023-02-23,131159.49,40078178.28,90
2023-02-24,236243.11,39435261.17,90
2023-02-25,1096371.24,40238572.31,90
2023-02-26,119882.8,40239046.81,90
2023-02-27,422314.06,40136134.03,90
2023-02-28,488846.88,40507550.59,90
2023-03-01,70927.87,40352102.02,90
2023-03-02,143509.69,39775381.76,90
2023-03-03,103044.9,39449581.68,90
2023-03-04,181650.81,39303199.65,90
2023-03-05,870061.56,39594891.06,90
2023-03-06,123081.92,39603362.41,90
2023-03-07,160820.54,38770751.72,90
2023-03-08,855477.29,39527177.49,90
2023-03-09,105878.95,39530266.73,90
2023-03-10,107439.71,39525949.75,90
2023-03-11,113058.7,39477351.86,90
2023-03-12,642694.17,39643532.26,90
2023-03-13,343543.78,39737320.23,90
2023-03-14,515981.38,40035139.02,90
2023-03-15,136557.72,38906291.39,90
2023-03-16,108932.91,37985999.82,90
2023-03-17,294493.86,36352811.41,90
2023-03-18,859803.53,37104016.49,90
2023-03-19,858234.35,37691679.08,90
2023-03-20,82665.52,37658972.94,90
2023-03-21,106250.31,37660681.75,90
2023-03-22,632248.28,37992016.35,90
2023-03-23,109560.77,37068234.73,90
2023-03-24,765001.39,37677164.66,90
2023-03-25,114364.77,37703900.4,90
2023-03-26,106773.15,37700593.95,90
2023-03-27,1147588.01,38736718.44,90
2023-03-28,100742.93,38672153.77,90
2023-03-29,323454.89,38062705.25,90
2023-03-30,429045.87,37308432.07,90
2023-03-31,743529.52,37523110.67,90
2023-04-01,303615.35,37742356.08,90
2023-04-02,246079.0,37403069.48,90
2023-04-03,489959.83,37818365.88,90
2023-04-04,131902.13,37845893.44,90
2023-04-05,272457.34,38004763.53,90
2023-04-06,138456.73,38046427.84,90
2023-04-07,1129288.02,38573735.28,90
2023-04-08,77718.9,38159980.81,90
2023-04-09,99324.29,37963064.86,90
2023-04-10,303906.99,38147573.37,90
2023-04-11,437282.98,38468355.06,90
2023-04-12,122406.49,38446748.3,90
2023-04-13,96806.8,37252277.49,90
2023-04-14,149565.19,37271176.93,90
2023-04-15,95517.67,36085102.67,90
2023-04-16,336876.78,36312808.68,90
2023-04-17,119230.43,36298899.4,90
2023-04-18,135948.61,35949294.6,90
2023-04-19,94622.98,35840209.78,90
2023-04-20,114567.62,35646123.29,90
2023-04-21,399341.15,35924237.78,90
2023-04-22,959467.58,36309468.75,90
2023-04-23,183193.76,36163949.52,90
2023-04-24,136730.48,35190000.7,90
2023-04-25,86235.19,35092660.48,90
2023-04-26,715264.48,35660094.75,90
2023-04-27,586302.96,35765712.61,90
2023-04-28,583838.4,36026449.02,90
2023-04-29,152631.61,35693727.86,90
2023-04-30,112022.18,35714320.42,90
2023-05-01,316740.72,34480347.08,90
2023-05-02,138640.94,34483123.97,90
2023-05-03,129763.62,33817202.13,90
2023-05-04,121231.24,33832955.76,90
2023-05-05,222938.56,33691285.64,90
2023-05-06,298208.02,33910913.88,90
2023-05-07,759006.27,33569259.92,90
2023-05-08,93983.1,33388602.74,90
2023-05-09,167019.09,32949222.02,90
2023-05-10,293396.77,32987192.13,90
2023-05-11,1063570.54,32582837.49,90
2023-05-12,657706.22,33106134.3,90
2023-05-13,99268.21,33090963.1,90
2023-05-14,113093.56,32055863.7,90
2023-05-15,90042.29,31152775.38,90
2023-05-16,81573.03,30750625.63,90
2023-05-17,1320588.53,31902199.74,90
2023-05-18,124506.69,31733040.62,90
2023-05-19,300231.46,31887187.71,90
2023-05-20,567820.88,31853593.22,90
2023-05-21,116399.13,30640185.02,90
2023-05-22,189422.78,30290717.5,90
2023-05-23,231411.21,30058361.41,90
2023-05-24,151736.84,30078938.76,90
2023-05-25,112024.61,29954720.26,90
2023-05-26,779152.85,29637501.87,90
2023-05-27,261704.24,29779323.31,90
2023-05-28,73237.06,29430246.31,90
2023-05-29,257251.36,29198650.79,90
2023-05-30,381262.6,29508985.52,90
2023-05-31,891337.03,30256812.86,90
2023-06-01,107019.08,30260787.04,90
2023-06-02,108174.36,30187310.59,90
2023-06-03,761123.76,30078372.79,90
2023-06-04,1269677.18,31224968.05,90
2023-06-05,363867.98,31428015.49,90
2023-06-06,123709.84,30696248.04,90
2023-06-07,132542.4,30722911.49,90
2023-06-08,355958.02,30971429.8,90
2023-06-09,153135.83,31011506.93,90
2023-06-10,261675.12,30630487.88,90
2023-06-11,153333.94,30440278.04,90
2023-06-12,277345.28,30201641.94,90
2023-06-13,589144.64,30654228.86,90
2023-06-14,268117.0,30813412.95,90
2023-06-15,116922.91,30635842.0,90
2023-06-16,103902.28,29879940.75,90
2023-06-17,334766.07,29356472.47,90
2023-06-18,94906.46,29368713.41,90
2023-06-19,1644018.05,30906481.15,90
2023-06-20,113546.93,30387779.8,90
2023-06-21,106171.03,30384390.06,90
2023-06-22,1314219.05,30933607.72,90
2023-06-23,555907.85,31375150.8,90
2023-06-24,280214.9,31548592.55,90
2023-06-25,595621.33,30996625.87,90
2023-06-26,273796.04,31169678.98,90
2023-06-27,436495.14,31282719.23,90
2023-06-28,206100.68,31059774.04,90
2023-06-29,94236.22,30410480.74,90
2023-06-30,131800.89,30238666.28,90
2023-07-01,152615.77,30145203.05,90
2023-07-02,149666.73,29804909.95,90
2023-07-03,104973.7,29777981.52,90
2023-07-04,814530.07,30320054.25,90
2023-07-05,99114.67,30280712.19,90
2023-07-06,456570.97,29607995.14,90
2023-07-07,103227.22,29633503.46,90
2023-07-08,293235.55,29827414.72,90
2023-07-09,66825.73,29590333.46,90
2023-07-10,591795.27,29744845.75,90
2023-07-11,589686.01,30212125.27,90
2023-07-12,632356.17,30747674.64,90
2023-07-13,473821.06,31071930.51,90
2023-07-14,93850.17,31070263.01,90
2023-07-15,236678.4,30970064.63,90
2023-07-16,127878.05,30978712.25,90
2023-07-17,103446.22,30946209.86,90
2023-07-18,134342.79,30985929.67,90
2023-07-19,168906.28,31040268.33,90
2023-07-20,116228.13,30757155.31,90
2023-07-21,209181.13,30006868.86,90
2023-07-22,131146.43,29954821.53,90
2023-07-23,521984.94,30340075.99,90
2023-07-24,377289.38,30631130.18,90
2023-07-25,100885.63,30016751.33,90
2023-07-26,1184856.28,30615304.65,90
2023-07-27,606620.51,30638086.76,90
2023-07-28,921245.37,31406700.52,90
2023-07-29,307722.57,31602400.91,90
2023-07-30,103745.52,31389405.71,90
2023-07-31,418190.39,31668955.16,90
2023-08-01,112395.56,31651587.1,90
2023-08-02,106310.36,31636666.22,90
2023-08-03,270230.11,31683957.77,90
2023-08-04,100370.12,31486119.87,90
2023-08-05,295519.68,31022633.28,90
2023-08-06,772904.93,31701555.11,90
2023-08-07,76718.7,31611254.72,90
2023-08-08,849582.22,32167440.17,90
2023-08-09,144769.71,31248639.34,90
2023-08-10,90853.66,30681786.78,90
2023-08-11,1286120.59,31868639.16,90
2023-08-12,96370.72,31851916.32,90
2023-08-13,142846.27,31904720.3,90
2023-08-14,537606.44,32360753.71,90
2023-08-15,425814.31,31465979.49,90
2023-08-16,173088.91,31514561.71,90
2023-08-17,440984.46,31655314.71,90
2023-08-18,814674.48,31902168.31,90
2023-08-19,265500.59,32051269.77,90
2023-08-20,89418.48,31951265.47,90
2023-08-21,99414.11,31819268.37,90
2023-08-22,88259.45,31755790.98,90
2023-08-23,100026.05,31743792.42,90
2023-08-24,120634.76,31085274.33,90
2023-08-25,677358.35,31500928.44,90
2023-08-26,961373.91,32389065.29,90
2023-08-27,1311659.66,33443473.59,90
2023-08-28,94405.07,33156616.06,90
2023-08-29,86852.48,32352131.51,90
2023-08-30,1104875.83,33349988.26,90
2023-08-31,1103055.21,34344869.11,90
2023-09-01,139774.68,33723520.03,90
2023-09-02,88548.97,32542391.82,90
2023-09-03,111285.99,32289809.83,90
2023-09-04,182829.17,32348929.16,90
2023-09-05,117559.5,32333946.26,90
2023-09-06,270355.77,32248344.01,90
2023-09-07,145696.06,32240904.24,90
2023-09-08,424093.55,32403322.67,90
2023-09-09,1025279.8,33275268.53,90
2023-09-10,1361839.39,34359762.64,90
2023-09-11,457748.43,34228366.43,90
2023-09-12,1055272.78,35015522.21,90
2023-09-13,91333.45,34989932.75,90
2023-09-14,757505.8,35643536.27,90
2023-09-15,1367013.55,36675783.75,90
2023-09-16,114875.25,36695752.54,90
2023-09-17,109543.81,35161278.3,90
2023-09-18,115846.89,35163578.26,90
2023-09-19,115871.25,35173278.48,90
2023-09-20,324325.81,34183385.24,90
2023-09-21,115403.88,33742881.27,90
2023-09-22,110818.49,33573484.86,90
2023-09-23,331139.46,33309002.99,90
2023-09-24,381224.07,33416431.02,90
2023-09-25,153441.6,33133377.48,90
2023-09-26,127284.51,33054561.31,90
2023-09-27,1258660.42,34218985.51,90
2023-09-28,119273.58,34206458.2,90
2023-09-29,101931.75,34155774.18,90
2023-09-30,3161888.16,37167995.61,90
2023-10-01,529974.74,37592996.65,90
2023-10-02,236794.09,37015260.67,90
2023-10-03,576080.06,37492226.06,90
2023-10-04,765600.36,37801255.45,90
2023-10-05,413495.99,38111524.22,90
2023-10-06,283785.71,38102074.38,90
2023-10-07,936275.75,38971524.4,90
2023-10-08,328116.64,38707845.77,90
2023-10-09,164906.45,38283066.21,90
2023-10-10,1659647.39,39310357.43,90
2023-10-11,128525.93,38965062.3,90
2023-10-12,85580.32,38956792.45,90
2023-10-13,102311.52,38822425.57,90
2023-10-14,481253.15,39175800.67,90
2023-10-15,114094.48,39186448.93,90
2023-10-16,119436.19,39171542.33,90
2023-10-17,90157.28,39092793.33,90
2023-10-18,843105.79,39819670.99,90
2023-10-19,120686.58,39731176.44,90
2023-10-20,87478.14,39687508.15,90
2023-10-21,285960.13,39451483.34,90
2023-10-22,294661.06,39368855.02,90
2023-10-23,268865.29,39536834.68,90
2023-10-24,379610.01,38731588.41,90
2023-10-25,112897.45,38237865.35,90
2023-10-26,781861.36,38098481.34,90
2023-10-27,378278.92,38169037.69,90
2023-10-28,429865.71,38495157.88,90
2023-10-29,870669.56,38947637.05,90
2023-10-30,2037042.78,40872284.27,90
2023-10-31,122634.88,40888608.79,90
2023-11-01,1075129.78,41693508.46,90
2023-11-02,109737.29,41702875.63,90
2023-11-03,112809.55,41520165.5,90
2023-11-04,100833.18,40848093.75,90
2023-11-05,142708.47,40914083.52,90
2023-11-06,96134.45,40160635.75,90
2023-11-07,230623.83,40246489.87,90
2023-11-08,820105.7,40975741.91,90
2023-11-09,374424.9,40064046.22,90
2023-11-10,113717.41,40081392.91,90
2023-11-11,128261.66,40066808.3,90
2023-11-12,115827.33,39645029.19,90
2023-11-13,285170.65,39504385.53,90
2023-11-14,112145.69,39443442.31,90
2023-11-15,92991.59,39095449.44,90
2023-11-16,500657.58,38781432.54,90
2023-11-17,304829.68,38820761.63,90
2023-11-18,555675.45,39287018.6,90
2023-11-19,104036.71,39291641.2,90
2023-11-20,492012.58,39695394.33,90
2023-11-21,1426611.47,41021979.75,90
2023-11-22,181036.95,41082381.94,90
2023-11-23,112891.78,40517915.37,90
2023-11-24,693043.64,40249585.1,90
2023-11-25,95053.6,39032979.04,90
