customer_id,last_order_date,frequency,monetary,recency,R_score,F_score,M_score,RFM_score,segment
94.0,2024-05-27,3,6401.63,218.0,3,1,1,311,Hibernating
95.0,2024-10-05,11,12902.42,87.0,3,5,3,353,Potential Loyalists
96.0,2024-12-21,5,92999.98000000001,10.0,3,1,5,315,Promising
97.0,2024-06-03,7,22624.98,211.0,3,3,5,335,Loyal Customers
98.0,2024-05-01,5,11429.66,244.0,3,1,3,313,Hibernating
99.0,2024-07-29,10,13165.74,155.0,3,5,3,353,Potential Loyalists
100.0,2024-08-30,8,14513.07,123.0,3,3,4,334,Loyal Customers
101.0,2024-08-30,7,129326.94,123.0,3,3,5,335,Loyal Customers
102.0,2024-06-09,5,6085.03,205.0,3,1,1,311,Hibernating
103.0,2024-12-24,8,8065.33,7.0,3,3,2,332,Potential Loyalists
104.0,2023-09-27,4,4861.17,461.0,3,1,1,311,Hibernating
105.0,2024-10-05,9,7681.38,87.0,3,4,2,342,Potential Loyalists
106.0,2024-07-25,8,12313.74,159.0,3,3,3,333,Potential Loyalists
107.0,2024-10-23,9,20426.079999999998,69.0,3,4,4,344,Loyal Customers
108.0,2024-05-28,9,10504.69,217.0,3,4,3,343,Potential Loyalists
109.0,2024-07-19,3,2288.89,165.0,3,1,1,311,Hibernating
110.0,2024-12-21,10,14486.84,10.0,3,5,4,354,Loyal Customers
111.0,2024-07-16,6,7602.01,168.0,3,2,2,322,Hibernating
112.0,2024-12-27,7,9105.68,4.0,3,3,2,332,Potential Loyalists
113.0,2024-12-03,10,11297.4,28.0,3,5,3,353,Potential Loyalists
114.0,2024-10-03,4,6753.92,89.0,3,1,2,312,Hibernating
115.0,2024-12-06,7,4508.1900000000005,25.0,3,3,1,331,Potential Loyalists
116.0,2024-03-22,5,4734.96,284.0,3,1,1,311,Hibernating
117.0,2024-12-21,9,19023.66,10.0,3,4,4,344,Loyal Customers
118.0,2024-05-11,8,17770.47,234.0,3,3,4,334,Loyal Customers
119.0,2024-10-27,9,19850.84,65.0,3,4,4,344,Loyal Customers
120.0,2024-11-23,6,10525.28,38.0,3,2,3,323,Hibernating
121.0,2024-10-04,6,4408.96,88.0,3,2,1,321,Hibernating
122.0,2024-08-06,8,34187.01,147.0,3,3,5,335,Loyal Customers
123.0,2024-09-08,8,10226.32,114.0,3,3,3,333,Potential Loyalists
124.0,2024-07-21,12,16827.04,163.0,3,5,4,354,Loyal Customers
125.0,2024-01-15,7,13519.279999999999,351.0,3,3,3,333,Potential Loyalists
126.0,2024-11-26,9,9178.94,35.0,3,4,2,342,Potential Loyalists
127.0,2024-12-24,8,10068.46,7.0,3,3,2,332,Potential Loyalists
128.0,2024-10-31,3,172900.59999999998,61.0,3,1,5,315,Promising
129.0,2024-04-28,8,612977.79,247.0,3,3,5,335,Loyal Customers
130.0,2024-08-17,6,1934.14,136.0,3,2,1,321,Hibernating
131.0,2024-10-13,6,12099.48,79.0,3,2,3,323,Hibernating
132.0,2023-12-05,6,14974.269999999999,392.0,3,2,4,324,Promising
133.0,2024-09-14,10,43345.52,108.0,3,5,5,355,Loyal Customers
134.0,2024-12-28,12,18883.36,3.0,3,5,4,354,Loyal Customers
135.0,2024-10-29,4,176306.37999999998,63.0,3,1,5,315,Promising
136.0,2024-10-13,14,418951.07,79.0,3,5,5,355,Loyal Customers
137.0,2024-11-25,9,10379.9,36.0,3,4,3,343,Potential Loyalists
138.0,2024-08-16,8,11727.73,137.0,3,3,3,333,Potential Loyalists
139.0,2024-10-11,4,9318.460000000001,81.0,3,1,2,312,Hibernating
140.0,2024-12-03,8,13405.75,28.0,3,3,3,333,Potential Loyalists
141.0,2024-09-06,6,12801.11,116.0,3,2,3,323,Hibernating
142.0,2024-12-26,7,9290.83,5.0,3,3,2,332,Potential Loyalists
143.0,2023-09-06,7,13956.93,482.0,3,3,3,333,Potential Loyalists
144.0,2024-06-11,8,10967.74,203.0,3,3,3,333,Potential Loyalists
145.0,2024-12-26,10,20326.93,5.0,3,5,4,354,Loyal Customers
147.0,2023-11-12,4,1729.3,415.0,3,1,1,311,Hibernating
148.0,2024-08-01,13,141089.59,152.0,3,5,5,355,Loyal Customers
149.0,2024-10-07,9,13305.98,85.0,3,4,3,343,Potential Loyalists
150.0,2023-12-10,6,10785.42,387.0,3,2,3,323,Hibernating
151.0,2024-12-15,8,6555.82,16.0,3,3,1,331,Potential Loyalists
152.0,2024-12-18,9,15585.15,13.0,3,4,4,344,Loyal Customers
153.0,2024-04-18,10,394500.30000000005,257.0,3,5,5,355,Loyal Customers
154.0,2024-09-09,10,14320.720000000001,113.0,3,5,3,353,Potential Loyalists
155.0,2024-08-15,5,3709.8,138.0,3,1,1,311,Hibernating
156.0,2024-10-13,7,9805.18,79.0,3,3,2,332,Potential Loyalists
157.0,2024-07-03,6,8859.9,181.0,3,2,2,322,Hibernating
158.0,2024-10-09,6,25104.72,83.0,3,2,5,325,Promising
159.0,2024-12-24,12,15540.279999999999,7.0,3,5,4,354,Loyal Customers
160.0,2024-09-30,7,11990.79,92.0,3,3,3,333,Potential Loyalists
161.0,2024-11-12,6,17318.45,49.0,3,2,4,324,Promising
162.0,2024-11-19,5,9308.94,42.0,3,1,2,312,Hibernating
163.0,2024-05-11,7,73230.19,234.0,3,3,5,335,Loyal Customers
164.0,2023-08-27,6,6596.63,492.0,3,2,2,322,Hibernating
165.0,2024-03-13,11,34060.47,293.0,3,5,5,355,Loyal Customers
166.0,2024-09-21,6,29952.06,101.0,3,2,5,325,Promising
167.0,2024-12-14,6,3708.2200000000003,17.0,3,2,1,321,Hibernating
168.0,2024-07-27,9,17460.09,157.0,3,4,4,344,Loyal Customers
169.0,2024-11-20,9,18166.76,41.0,3,4,4,344,Loyal Customers
170.0,2024-06-27,9,18638.46,187.0,3,4,4,344,Loyal Customers
171.0,2024-12-15,10,1015011.49,16.0,3,5,5,355,Loyal Customers
172.0,2024-11-14,7,16169.01,47.0,3,3,4,334,Loyal Customers
173.0,2024-08-06,10,189397.17,147.0,3,5,5,355,Loyal Customers
174.0,2024-12-06,12,34675.83,25.0,3,5,5,355,Loyal Customers
175.0,2024-06-07,7,6560.66,207.0,3,3,1,331,Potential Loyalists
176.0,2024-10-11,8,12053.79,81.0,3,3,3,333,Potential Loyalists
177.0,2024-10-17,3,3635.67,75.0,3,1,1,311,Hibernating
178.0,2024-11-11,8,9877.49,50.0,3,3,2,332,Potential Loyalists
179.0,2024-02-27,5,338137.74,308.0,3,1,5,315,Promising
180.0,2024-06-21,4,4443.08,193.0,3,1,1,311,Hibernating
181.0,2024-12-31,4,5270.35,0.0,3,1,1,311,Hibernating
182.0,2024-11-30,8,9910.16,31.0,3,3,2,332,Potential Loyalists
183.0,2024-12-07,5,4588.11,24.0,3,1,1,311,Hibernating
184.0,2024-12-30,5,15979.589999999998,1.0,3,1,4,314,Hibernating
185.0,2024-12-30,8,16454.72,1.0,3,3,4,334,Loyal Customers
186.0,2024-10-10,9,11625.11,82.0,3,4,3,343,Potential Loyalists
187.0,2024-11-18,6,10531.7,43.0,3,2,3,323,Hibernating
188.0,2024-12-25,6,110444.06,6.0,3,2,5,325,Promising
189.0,2024-09-12,9,15870.69,110.0,3,4,4,344,Loyal Customers
190.0,2023-12-08,5,11995.97,389.0,3,1,3,313,Hibernating
191.0,2024-10-23,3,6153.459999999999,69.0,3,1,1,311,Hibernating
192.0,2024-11-13,7,5921.2699999999995,48.0,3,3,1,331,Potential Loyalists
193.0,2024-09-09,4,7799.49,113.0,3,1,2,312,Hibernating
194.0,2024-04-29,11,16736.53,246.0,3,5,4,354,Loyal Customers
195.0,2024-10-02,12,26068.28,90.0,3,5,5,355,Loyal Customers
196.0,2024-12-29,10,28682.510000000002,2.0,3,5,5,355,Loyal Customers
197.0,2024-04-13,10,17907.63,262.0,3,5,4,354,Loyal Customers
198.0,2024-10-17,13,21303.86,75.0,3,5,4,354,Loyal Customers
199.0,2024-12-12,10,10105.55,19.0,3,5,2,352,Potential Loyalists
200.0,2024-07-19,8,29922.76,165.0,3,3,5,335,Loyal Customers
201.0,2024-02-09,5,5945.51,326.0,3,1,1,311,Hibernating
202.0,2024-12-28,6,7879.610000000001,3.0,3,2,2,322,Hibernating
203.0,2024-03-27,2,9058.29,279.0,3,1,2,312,Hibernating
204.0,2024-11-25,5,7423.7,36.0,3,1,2,312,Hibernating
205.0,2023-06-21,5,6450.54,559.0,3,1,1,311,Hibernating
206.0,2023-12-29,3,3017.2,368.0,3,1,1,311,Hibernating
207.0,2024-08-21,8,22918.67,132.0,3,3,5,335,Loyal Customers
208.0,2024-07-26,2,3157.3599999999997,158.0,3,1,1,311,Hibernating
209.0,2024-05-29,6,8726.03,216.0,3,2,2,322,Hibernating
210.0,2023-09-26,7,11527.77,462.0,3,3,3,333,Potential Loyalists
211.0,2024-09-07,9,12458.44,115.0,3,4,3,343,Potential Loyalists
212.0,2024-01-21,5,16490.71,345.0,3,1,4,314,Hibernating
213.0,2024-09-23,7,16623.809999999998,99.0,3,3,4,334,Loyal Customers
214.0,2024-10-03,8,18566.91,89.0,3,3,4,334,Loyal Customers
215.0,2024-06-09,5,10757.25,205.0,3,1,3,313,Hibernating
216.0,2024-10-16,7,23914.93,76.0,3,3,5,335,Loyal Customers
217.0,2024-10-15,10,10800.43,77.0,3,5,3,353,Potential Loyalists
218.0,2024-11-01,4,5717.55,60.0,3,1,1,311,Hibernating
219.0,2024-11-20,9,9655.4,41.0,3,4,2,342,Potential Loyalists
220.0,2023-09-05,5,10000.65,483.0,3,1,2,312,Hibernating
221.0,2024-12-12,6,516862.62,19.0,3,2,5,325,Promising
222.0,2024-03-08,4,7550.76,298.0,3,1,2,312,Hibernating
223.0,2024-04-26,5,6758.0,249.0,3,1,2,312,Hibernating
224.0,2024-07-17,2,4547.19,167.0,3,1,1,311,Hibernating
225.0,2024-09-25,13,23795.98,97.0,3,5,5,355,Loyal Customers
226.0,2024-11-18,8,32205.23,43.0,3,3,5,335,Loyal Customers
227.0,2024-02-16,9,15674.08,319.0,3,4,4,344,Loyal Customers
228.0,2024-11-23,6,14868.8,38.0,3,2,4,324,Promising
229.0,2024-08-31,8,6635.73,122.0,3,3,2,332,Potential Loyalists
230.0,2024-11-12,10,7410.22,49.0,3,5,2,352,Potential Loyalists
231.0,2024-12-23,11,32918.31,8.0,3,5,5,355,Loyal Customers
232.0,2024-08-12,5,5694.91,141.0,3,1,1,311,Hibernating
233.0,2024-08-17,5,311230.18,136.0,3,1,5,315,Promising
234.0,2024-09-17,8,5747.36,105.0,3,3,1,331,Potential Loyalists
235.0,2024-07-24,5,8161.150000000001,160.0,3,1,2,312,Hibernating
236.0,2022-10-08,4,8084.75,815.0,3,1,2,312,Hibernating
237.0,2023-05-05,3,4856.51,606.0,3,1,1,311,Hibernating
238.0,2024-07-10,10,18412.27,174.0,3,5,4,354,Loyal Customers
239.0,2024-07-09,7,13365.689999999999,175.0,3,3,3,333,Potential Loyalists
240.0,2024-12-07,8,9324.06,24.0,3,3,2,332,Potential Loyalists
241.0,2024-04-06,10,520262.26999999996,269.0,3,5,5,355,Loyal Customers
242.0,2023-08-30,2,2244.93,489.0,3,1,1,311,Hibernating
243.0,2024-09-27,8,25756.56,95.0,3,3,5,335,Loyal Customers
244.0,2024-09-04,10,19895.64,118.0,3,5,4,354,Loyal Customers
245.0,2024-10-10,7,208594.99,82.0,3,3,5,335,Loyal Customers
246.0,2024-09-20,9,7159.08,102.0,3,4,2,342,Potential Loyalists
247.0,2024-04-04,6,11573.210000000001,271.0,3,2,3,323,Hibernating
248.0,2024-09-15,9,21404.29,107.0,3,4,4,344,Loyal Customers
249.0,2024-08-26,6,11660.26,127.0,3,2,3,323,Hibernating
250.0,2024-10-10,8,25089.63,82.0,3,3,5,335,Loyal Customers
251.0,2024-10-14,8,35783.37,78.0,3,3,5,335,Loyal Customers
252.0,2024-07-02,11,20987.32,182.0,3,5,4,354,Loyal Customers
253.0,2024-04-19,7,7644.92,256.0,3,3,2,332,Potential Loyalists
254.0,2024-07-09,7,11408.62,175.0,3,3,3,333,Potential Loyalists
255.0,2024-12-06,8,15773.42,25.0,3,3,4,334,Loyal Customers
256.0,2024-10-28,9,14855.25,64.0,3,4,4,344,Loyal Customers
257.0,2024-12-13,6,9109.03,18.0,3,2,2,322,Hibernating
258.0,2024-09-10,2,282.28999999999996,112.0,3,1,1,311,Hibernating
259.0,2024-10-29,11,13385.44,63.0,3,5,3,353,Potential Loyalists
260.0,2024-09-15,8,18311.44,107.0,3,3,4,334,Loyal Customers
261.0,2024-03-03,5,7912.48,303.0,3,1,2,312,Hibernating
262.0,2024-10-01,4,6770.5,91.0,3,1,2,312,Hibernating
263.0,2024-05-19,9,10466.95,226.0,3,4,3,343,Potential Loyalists
264.0,2024-06-09,5,9028.99,205.0,3,1,2,312,Hibernating
265.0,2024-12-19,12,19308.99,12.0,3,5,4,354,Loyal Customers
266.0,2024-03-13,3,2454.27,293.0,3,1,1,311,Hibernating
267.0,2024-12-25,8,15210.05,6.0,3,3,4,334,Loyal Customers
268.0,2024-05-16,4,7844.1900000000005,229.0,3,1,2,312,Hibernating
269.0,2024-11-03,6,4946.38,58.0,3,2,1,321,Hibernating
270.0,2024-07-24,8,8171.1900000000005,160.0,3,3,2,332,Potential Loyalists
271.0,2024-10-09,6,404081.62,83.0,3,2,5,325,Promising
272.0,2024-12-01,7,181186.13999999998,30.0,3,3,5,335,Loyal Customers
273.0,2024-10-08,4,2614.48,84.0,3,1,1,311,Hibernating
274.0,2024-12-23,5,369845.45,8.0,3,1,5,315,Promising
275.0,2023-06-12,7,191111.52,568.0,3,3,5,335,Loyal Customers
276.0,2024-09-08,16,35004.1,114.0,3,5,5,355,Loyal Customers
277.0,2024-11-20,8,12942.3,41.0,3,3,3,333,Potential Loyalists
278.0,2024-08-28,8,12318.04,125.0,3,3,3,333,Potential Loyalists
279.0,2024-11-06,15,19724.18,55.0,3,5,4,354,Loyal Customers
280.0,2024-10-19,4,24828.98,73.0,3,1,5,315,Promising
281.0,2024-02-26,7,2482.99,309.0,3,3,1,331,Potential Loyalists
282.0,2024-08-05,6,20360.44,148.0,3,2,4,324,Promising
283.0,2024-09-10,9,23148.6,112.0,3,4,5,345,Loyal Customers
284.0,2024-11-15,5,3098.58,46.0,3,1,1,311,Hibernating
285.0,2024-10-27,7,12920.67,65.0,3,3,3,333,Potential Loyalists
286.0,2024-12-17,4,5621.3099999999995,14.0,3,1,1,311,Hibernating
287.0,2024-10-14,12,16623.01,78.0,3,5,4,354,Loyal Customers
288.0,2024-09-24,6,9676.11,98.0,3,2,2,322,Hibernating
289.0,2023-06-12,5,4588.94,568.0,3,1,1,311,Hibernating
290.0,2024-05-06,7,6536.82,239.0,3,3,1,331,Potential Loyalists
291.0,2024-12-06,5,380742.72,25.0,3,1,5,315,Promising
292.0,2024-06-09,3,3308.66,205.0,3,1,1,311,Hibernating
293.0,2024-03-28,5,12461.119999999999,278.0,3,1,3,313,Hibernating
294.0,2024-08-24,7,11333.81,129.0,3,3,3,333,Potential Loyalists
295.0,2024-10-28,5,20553.86,64.0,3,1,4,314,Hibernating
296.0,2024-12-10,6,7734.179999999999,21.0,3,2,2,322,Hibernating
297.0,2024-10-07,6,144505.90000000002,85.0,3,2,5,325,Promising
298.0,2023-06-26,4,6709.64,554.0,3,1,2,312,Hibernating
299.0,2024-10-03,8,5726.51,89.0,3,3,1,331,Potential Loyalists
300.0,2024-04-14,10,17976.63,261.0,3,5,4,354,Loyal Customers
301.0,2024-11-02,10,18025.37,59.0,3,5,4,354,Loyal Customers
302.0,2024-07-17,8,7582.67,167.0,3,3,2,332,Potential Loyalists
303.0,2024-12-02,7,202594.81,29.0,3,3,5,335,Loyal Customers
304.0,2024-10-03,9,16681.3,89.0,3,4,4,344,Loyal Customers
305.0,2024-09-19,7,21892.39,103.0,3,3,4,334,Loyal Customers
306.0,2024-12-23,10,12922.3,8.0,3,5,3,353,Potential Loyalists
307.0,2024-12-19,9,511821.69,12.0,3,4,5,345,Loyal Customers
308.0,2023-07-23,3,6381.42,527.0,3,1,1,311,Hibernating
309.0,2024-11-20,8,11142.83,41.0,3,3,3,333,Potential Loyalists
310.0,2024-09-25,4,484.95,97.0,3,1,1,311,Hibernating
311.0,2024-07-05,7,11024.99,179.0,3,3,3,333,Potential Loyalists
312.0,2024-10-07,8,6997.31,85.0,3,3,2,332,Potential Loyalists
313.0,2024-11-10,13,162803.55000000002,51.0,3,5,5,355,Loyal Customers
314.0,2024-07-26,4,6872.13,158.0,3,1,2,312,Hibernating
315.0,2024-02-23,5,20099.41,312.0,3,1,4,314,Hibernating
316.0,2023-11-09,2,1163.02,418.0,3,1,1,311,Hibernating
317.0,2022-10-23,1,118.55000000000001,800.0,3,1,1,311,Hibernating
318.0,2024-06-23,6,2843.2,191.0,3,2,1,321,Hibernating
319.0,2024-02-24,4,6726.06,311.0,3,1,2,312,Hibernating
320.0,2024-06-22,4,9686.49,192.0,3,1,2,312,Hibernating
321.0,2024-10-19,8,9266.79,73.0,3,3,2,332,Potential Loyalists
322.0,2024-09-02,10,447127.03,120.0,3,5,5,355,Loyal Customers
323.0,2024-01-07,1,5528.97,359.0,3,1,1,311,Hibernating
324.0,2024-11-06,10,11505.8,55.0,3,5,3,353,Potential Loyalists
325.0,2024-09-28,7,8195.53,94.0,3,3,2,332,Potential Loyalists
326.0,2024-11-17,8,13652.16,44.0,3,3,3,333,Potential Loyalists
327.0,2024-07-23,9,14356.98,161.0,3,4,3,343,Potential Loyalists
328.0,2024-12-31,7,14203.56,0.0,3,3,3,333,Potential Loyalists
329.0,2024-07-05,5,15058.09,179.0,3,1,4,314,Hibernating
330.0,2024-04-01,10,29119.72,274.0,3,5,5,355,Loyal Customers
331.0,2023-09-27,4,6180.65,461.0,3,1,1,311,Hibernating
332.0,2024-06-29,5,6315.570000000001,185.0,3,1,1,311,Hibernating
333.0,2024-11-26,5,3866.87,35.0,3,1,1,311,Hibernating
334.0,2024-12-02,11,505399.9,29.0,3,5,5,355,Loyal Customers
335.0,2024-12-05,7,9689.710000000001,26.0,3,3,2,332,Potential Loyalists
336.0,2024-12-15,9,13668.87,16.0,3,4,3,343,Potential Loyalists
337.0,2024-07-25,6,7107.89,159.0,3,2,2,322,Hibernating
338.0,2024-02-18,8,12307.65,317.0,3,3,3,333,Potential Loyalists
339.0,2024-08-03,6,4759.55,150.0,3,2,1,321,Hibernating
340.0,2024-03-14,11,26471.09,292.0,3,5,5,355,Loyal Customers
341.0,2024-10-22,10,16386.91,70.0,3,5,4,354,Loyal Customers
342.0,2024-08-22,7,5406.92,131.0,3,3,1,331,Potential Loyalists
343.0,2024-06-09,7,14924.210000000001,205.0,3,3,4,334,Loyal Customers
344.0,2024-09-01,7,18901.76,121.0,3,3,4,334,Loyal Customers
345.0,2024-05-28,4,4570.25,217.0,3,1,1,311,Hibernating
346.0,2024-02-29,4,3735.3599999999997,306.0,3,1,1,311,Hibernating
347.0,2024-03-08,4,4980.63,298.0,3,1,1,311,Hibernating
348.0,2024-08-15,9,13217.08,138.0,3,4,3,343,Potential Loyalists
349.0,2024-09-04,3,1346.01,118.0,3,1,1,311,Hibernating
350.0,2024-05-07,9,16730.940000000002,238.0,3,4,4,344,Loyal Customers
351.0,2024-08-27,15,166525.09,126.0,3,5,5,355,Loyal Customers
352.0,2024-12-25,11,20634.94,6.0,3,5,4,354,Loyal Customers
353.0,2024-07-06,6,13375.89,178.0,3,2,3,323,Hibernating
354.0,2024-12-23,12,16376.87,8.0,3,5,4,354,Loyal Customers
355.0,2024-10-20,5,5176.5,72.0,3,1,1,311,Hibernating
356.0,2023-04-30,6,21326.68,611.0,3,2,4,324,Promising
357.0,2023-08-27,5,4783.9,492.0,3,1,1,311,Hibernating
358.0,2024-11-19,7,8615.0,42.0,3,3,2,332,Potential Loyalists
359.0,2024-10-25,7,113173.72999999998,67.0,3,3,5,335,Loyal Customers
360.0,2024-12-21,8,15469.49,10.0,3,3,4,334,Loyal Customers
361.0,2024-07-15,8,26701.23,169.0,3,3,5,335,Loyal Customers
362.0,2024-03-31,6,2545.86,275.0,3,2,1,321,Hibernating
363.0,2024-01-03,4,5315.849999999999,363.0,3,1,1,311,Hibernating
364.0,2024-12-13,6,10198.689999999999,18.0,3,2,2,322,Hibernating
365.0,2024-12-11,8,12543.15,20.0,3,3,3,333,Potential Loyalists
366.0,2024-08-24,7,7490.13,129.0,3,3,2,332,Potential Loyalists
367.0,2024-07-19,4,9566.56,165.0,3,1,2,312,Hibernating
