order_id,customer_id,order_date,ship_date,delivery_date,channel,payment_method,shipping_cost,discount_amount,status,city,state,country,orphaned_order,order_year,order_month,order_dow
18,3221.0,2024-05-18,2024-05-25,2024-05-28,Wholesale,Credit Card,10.68,33.63,Shipped,Port Jillian,NC,US,0,2024.0,2024-05,Saturday
19,5211.0,2022-07-02,2022-07-05,2022-07-08,Online,Gift Card,24.55,0.0,Completed,Port Michaelview,AZ,US,0,2022.0,2022-07,Saturday
20,5820.0,2022-10-04,2022-10-06,2022-10-10,Social Commerce,Credit Card,6.86,8.46,Completed,Port Bradyton,NJ,US,0,2022.0,2022-10,Tuesday
21,4171.0,2023-11-06,2023-11-10,2023-11-20,Online,Debit Card,15.31,41.9,Completed,Davidview,CA,US,0,2023.0,2023-11,Monday
22,784.0,2022-04-21,2022-04-26,2022-04-30,Wholesale,PayPal,18.84,22.31,Refunded,North Timothytown,VA,US,0,2022.0,2022-04,Thursday
23,6192.0,2022-11-10,2022-11-11,2022-11-20,Wholesale,Credit Card,3.37,39.55,Completed,Garrettmouth,TN,US,0,2022.0,2022-11,Thursday
24,3363.0,2024-07-11,2024-07-18,2024-07-25,Mobile App,BNPL,5.68,29.9,Completed,Alexandraland,TN,US,0,2024.0,2024-07,Thursday
25,1910.0,2023-11-13,2023-11-16,2023-11-24,Social Commerce,Gift Card,7.74,121.92,Completed,Taylormouth,MD,US,0,2023.0,2023-11,Monday
26,7740.0,2024-08-26,2024-08-31,2024-09-03,Online,PayPal,24.75,11.88,Completed,Watkinshaven,WA,US,0,2024.0,2024-08,Monday
27,7175.0,2022-07-11,2022-07-18,2022-07-26,In-Store,Gift Card,6.76,0.0,Refunded,East Ronald,VA,US,0,2022.0,2022-07,Monday
28,3418.0,2023-05-24,,,Online,Apple Pay,20.09,0.0,Completed,South Brian,PA,US,0,2023.0,2023-05,Wednesday
29,6215.0,2022-03-04,,,In-Store,Credit Card,17.85,0.0,Completed,West Amberfurt,IN,US,0,2022.0,2022-03,Friday
30,4161.0,2023-11-01,2023-11-08,2023-11-18,Online,Debit Card,3.82,0.0,Cancelled,Saundersfurt,FL,US,0,2023.0,2023-11,Wednesday
31,3654.0,2022-01-12,2022-01-13,2022-01-23,Mobile App,BNPL,0.19,0.0,Completed,Lake Derekfort,MO,US,0,2022.0,2022-01,Wednesday
32,9297.0,2023-11-26,2023-11-27,2023-12-03,Social Commerce,Gift Card,0.41,0.0,Completed,West Theodore,WA,US,0,2023.0,2023-11,Sunday
33,1523.0,2022-12-21,2022-12-23,2022-12-27,Social Commerce,BNPL,10.92,0.0,Refunded,East Laurenchester,IL,US,0,2022.0,2022-12,Wednesday
34,9372.0,2024-01-21,2024-01-27,2024-02-01,In-Store,PayPal,11.41,5.54,Processing,Lake Brad,NY,US,0,2024.0,2024-01,Sunday
35,7411.0,2023-08-28,2023-08-30,,Online,PayPal,11.14,16.19,Completed,Ericafurt,OH,US,0,2023.0,2023-08,Monday
36,8744.0,2023-07-26,2023-07-28,2023-08-02,Mobile App,Credit Card,24.02,3.46,Completed,Port Dakotamouth,WI,US,0,2023.0,2023-07,Wednesday
37,2797.0,2023-11-30,2023-12-01,2023-12-04,Wholesale,PayPal,19.32,17.43,Completed,West Thomashaven,GA,US,0,2023.0,2023-11,Thursday
38,8799.0,2023-04-28,2023-05-03,2023-05-13,Mobile App,Credit Card,10.44,0.0,Shipped,New Vickiestad,TN,US,0,2023.0,2023-04,Friday
39,7687.0,2024-08-06,2024-08-07,2024-08-12,Wholesale,Credit Card,15.56,18.24,Completed,Robertfort,FL,US,0,2024.0,2024-08,Tuesday
40,2258.0,2022-04-03,2022-04-09,2022-04-19,Mobile App,Apple Pay,7.71,0.0,On Hold,New Danielburgh,IL,US,0,2022.0,2022-04,Sunday
41,471.0,2023-01-07,2023-01-08,2023-01-14,Mobile App,Cash,4.67,25.18,Completed,Victortown,NC,US,0,2023.0,2023-01,Saturday
42,2014.0,2022-05-21,,,Wholesale,Apple Pay,7.56,0.0,Processing,Thomastown,AZ,US,0,2022.0,2022-05,Saturday
43,3063.0,2023-01-20,2023-01-27,2023-02-01,In-Store,BNPL,15.7,0.0,Cancelled,South Ronald,IN,US,0,2023.0,2023-01,Friday
44,1659.0,2023-01-04,2023-01-07,2023-01-12,Online,Credit Card,0.97,4.23,Completed,Williamfort,IN,US,0,2023.0,2023-01,Wednesday
45,6058.0,2024-10-13,2024-10-15,2024-10-25,Online,PayPal,5.88,0.0,Processing,Davisport,IN,US,0,2024.0,2024-10,Sunday
46,8939.0,2022-06-15,2022-06-22,2022-06-30,Wholesale,Apple Pay,21.78,0.0,Completed,Lake Jacqueline,CA,US,0,2022.0,2022-06,Wednesday
47,608.0,2022-10-30,2022-11-04,2022-11-12,Wholesale,BNPL,18.46,0.0,Completed,Smithfort,NJ,US,0,2022.0,2022-10,Sunday
48,4091.0,2023-05-25,2023-05-31,2023-06-10,Mobile App,Gift Card,37.629999999999995,0.0,Cancelled,Jasonstad,CA,US,0,2023.0,2023-05,Thursday
49,5622.0,2022-09-04,2022-09-05,2022-09-08,Mobile App,Cash,8.2,0.0,Completed,East Lisatown,IL,US,0,2022.0,2022-09,Sunday
50,5014.0,2022-06-23,,,Wholesale,Gift Card,2.83,0.0,Refunded,Kaylaport,NJ,US,0,2022.0,2022-06,Thursday
51,4147.0,2024-01-09,2024-01-16,2024-01-19,Social Commerce,Apple Pay,21.69,45.4,Cancelled,West James,NJ,US,0,2024.0,2024-01,Tuesday
52,6375.0,2022-05-10,,,Mobile App,BNPL,17.68,0.0,Completed,West Justinville,FL,US,0,2022.0,2022-05,Tuesday
53,2678.0,2023-12-12,2023-12-13,,In-Store,Debit Card,12.78,82.87,Completed,Jensenfurt,MI,US,0,2023.0,2023-12,Tuesday
54,9490.0,2023-12-15,2023-12-20,2023-12-26,Online,Cash,23.68,0.0,Completed,Lake Ivanborough,WI,US,0,2023.0,2023-12,Friday
55,2145.0,2022-02-28,2022-03-02,2022-03-08,Mobile App,Gift Card,14.19,10.17,Completed,East Andrewhaven,MA,US,0,2022.0,2022-02,Monday
56,1284.0,2023-12-02,,,Online,Gift Card,23.37,24.18,Completed,Kellyport,CA,US,0,2023.0,2023-12,Saturday
57,1785.0,2024-04-11,2024-04-17,2024-04-24,Mobile App,Debit Card,10.86,31.31,Completed,Port Meganport,TN,US,0,2024.0,2024-04,Thursday
58,1610.0,2024-12-04,2024-12-07,2024-12-17,Online,Credit Card,1.34,50.79,Shipped,North Dylanview,TX,US,0,2024.0,2024-12,Wednesday
59,4303.0,2022-11-18,2022-11-19,2022-11-26,Online,Gift Card,19.53,12.09,Completed,Belindashire,CA,US,0,2022.0,2022-11,Friday
60,5785.0,2023-12-25,2023-12-26,2024-01-05,Social Commerce,BNPL,21.26,8.36,Completed,Castromouth,WA,US,0,2023.0,2023-12,Monday
61,8788.0,2024-05-30,2024-06-01,2024-06-10,Wholesale,Apple Pay,7.23,18.25,Completed,Yvonneside,MA,US,0,2024.0,2024-05,Thursday
62,2261.0,2022-04-04,2022-04-05,2022-04-10,Mobile App,Credit Card,1.38,26.87,Completed,Claytonview,FL,US,0,2022.0,2022-04,Monday
63,5118.0,2023-08-30,2023-09-03,,Mobile App,Cash,12.33,0.0,Processing,Madisonstad,CA,US,0,2023.0,2023-08,Wednesday
64,8954.0,2024-04-25,2024-04-27,2024-05-04,Mobile App,Credit Card,8.9,0.0,Completed,Port Charleschester,MI,US,0,2024.0,2024-04,Thursday
65,5446.0,2022-05-19,2022-05-26,2022-05-29,Mobile App,PayPal,15.5,14.8,Completed,Duncanshire,PA,US,0,2022.0,2022-05,Thursday
66,2397.0,2023-06-05,2023-06-08,,Wholesale,Apple Pay,19.82,69.15,Completed,Chandlerburgh,OH,US,0,2023.0,2023-06,Monday
67,8729.0,2022-03-03,2022-03-10,2022-03-13,Online,Gift Card,15.11,0.0,Shipped,Port Jeffrey,MD,US,0,2022.0,2022-03,Thursday
68,4987.0,2023-01-21,2023-01-28,2023-02-06,Wholesale,Gift Card,14.37,28.89,On Hold,Bradleymouth,TX,US,0,2023.0,2023-01,Saturday
69,4844.0,2024-12-06,2024-12-13,2024-12-16,In-Store,Cash,5.63,0.0,Cancelled,Wilcoxfurt,PA,US,0,2024.0,2024-12,Friday
70,,2023-09-21,2023-09-26,2023-09-30,Mobile App,Debit Card,15.19,0.0,Completed,Foleyton,AZ,US,1,2023.0,2023-09,Thursday
71,8919.0,2022-04-21,2022-04-25,2022-05-04,In-Store,BNPL,18.56,0.0,Completed,Port Dawnmouth,NY,US,0,2022.0,2022-04,Thursday
72,6745.0,2023-04-04,2023-04-08,2023-04-16,Social Commerce,PayPal,20.97,0.0,Processing,Georgeton,IN,US,0,2023.0,2023-04,Tuesday
73,6953.0,2022-09-10,2022-09-16,2022-09-26,Wholesale,Gift Card,1.03,43.66,Completed,East Christine,MO,US,0,2022.0,2022-09,Saturday
74,3097.0,2022-07-15,2022-07-18,2022-07-25,Online,Gift Card,17.7,0.0,Completed,East Julie,NC,US,0,2022.0,2022-07,Friday
75,7087.0,2022-01-21,2022-01-23,2022-01-27,Social Commerce,Debit Card,4.04,0.0,Completed,Lake Timothy,NC,US,0,2022.0,2022-01,Friday
76,7374.0,2024-12-13,2024-12-17,2024-12-23,Online,Credit Card,10.05,14.12,Processing,Jefferyberg,TN,US,0,2024.0,2024-12,Friday
77,2754.0,2023-09-14,2023-09-21,2023-09-29,Wholesale,Apple Pay,9.98,48.01,Completed,Elizabethport,IN,US,0,2023.0,2023-09,Thursday
78,4954.0,2023-05-15,2023-05-16,2023-05-23,In-Store,Debit Card,3.78,0.0,Shipped,Mirandaport,IN,US,0,2023.0,2023-05,Monday
79,8805.0,,,,Online,PayPal,7.0,0.0,Completed,Lake Leslie,WI,US,0,,,
80,6860.0,2023-03-25,2023-03-26,2023-04-05,Social Commerce,Apple Pay,0.6,116.63,Completed,Schroedershire,MO,US,0,2023.0,2023-03,Saturday
81,7710.0,2023-07-26,2023-07-27,2023-08-01,In-Store,Cash,24.48,0.0,Completed,Lake Melissa,WA,US,0,2023.0,2023-07,Wednesday
82,6100.0,2024-10-28,2024-11-01,2024-11-10,Social Commerce,Debit Card,14.79,0.0,Completed,Lake Colleen,WI,US,0,2024.0,2024-10,Monday
83,9338.0,2024-04-30,2024-05-06,2024-05-12,Social Commerce,Gift Card,19.2,91.92,Completed,New Kevinview,TN,US,0,2024.0,2024-04,Tuesday
84,82.0,2022-04-15,,,Social Commerce,BNPL,10.46,0.0,Processing,West Annfort,GA,US,0,2022.0,2022-04,Friday
85,2123.0,2023-02-02,2023-02-05,2023-02-12,Mobile App,Debit Card,12.69,0.0,Completed,Valeriebury,CA,US,0,2023.0,2023-02,Thursday
86,3429.0,2024-05-05,2024-05-10,2024-05-14,Mobile App,Cash,16.75,0.0,Cancelled,South Ryan,IN,US,0,2024.0,2024-05,Sunday
87,8237.0,2023-01-31,2023-02-05,2023-02-08,Social Commerce,Credit Card,17.75,102.86,Completed,Port Jessicaborough,VA,US,0,2023.0,2023-01,Tuesday
88,7276.0,2022-01-27,2022-02-01,2022-02-10,Social Commerce,Credit Card,7.0,30.61,Processing,South Cassandraport,AZ,US,0,2022.0,2022-01,Thursday
89,6852.0,2024-07-02,2024-07-09,2024-07-19,Social Commerce,BNPL,11.1,0.0,Cancelled,North Tiffany,MO,US,0,2024.0,2024-07,Tuesday
90,2074.0,2024-10-11,2024-10-17,2024-10-23,Wholesale,PayPal,6.63,0.0,Completed,Calebbury,NY,US,0,2024.0,2024-10,Friday
91,8485.0,2024-07-20,2024-07-21,2024-07-26,Mobile App,BNPL,13.73,73.43,Completed,Sharonberg,GA,US,0,2024.0,2024-07,Saturday
92,5561.0,2024-11-12,2024-11-18,2024-11-24,Online,BNPL,23.19,30.34,Completed,Thompsonport,AZ,US,0,2024.0,2024-11,Tuesday
93,3982.0,2023-10-30,,,Mobile App,Cash,20.59,0.0,Refunded,Welchmouth,IN,US,0,2023.0,2023-10,Monday
94,4453.0,2022-01-17,2022-01-23,2022-01-30,Mobile App,Credit Card,14.88,67.76,Completed,Riveraborough,IN,US,0,2022.0,2022-01,Monday
95,3369.0,2022-12-02,2022-12-04,2022-12-12,Mobile App,BNPL,5.15,0.0,Completed,Dixonborough,AZ,US,0,2022.0,2022-12,Friday
96,6308.0,2023-12-10,2023-12-16,2023-12-26,Mobile App,Apple Pay,6.98,62.76,Completed,Monicachester,CA,US,0,2023.0,2023-12,Sunday
97,864.0,2022-12-29,2022-12-30,2023-01-04,In-Store,BNPL,24.47,0.0,Shipped,New Samanthaside,MD,US,0,2022.0,2022-12,Thursday
98,8330.0,2024-06-18,2024-06-25,2024-07-04,Social Commerce,Apple Pay,12.23,19.25,Completed,Martinton,PA,US,0,2024.0,2024-06,Tuesday
99,2309.0,2022-06-28,2022-07-05,2022-07-09,Online,Cash,4.72,15.85,Completed,Haileybury,PA,US,0,2022.0,2022-06,Tuesday
100,3322.0,2024-06-20,2024-06-25,2024-06-30,Online,Credit Card,10.54,12.91,Shipped,Johnsonstad,NJ,US,0,2024.0,2024-06,Thursday
101,8909.0,2023-10-07,2023-10-11,2023-10-15,Online,Debit Card,20.82,0.0,Completed,Brianview,CA,US,0,2023.0,2023-10,Saturday
102,967.0,2023-07-14,2023-07-18,2023-07-23,Social Commerce,Debit Card,1.24,6.2,Completed,Stephenfurt,GA,US,0,2023.0,2023-07,Friday
103,7075.0,2022-04-08,2022-04-09,2022-04-17,In-Store,Gift Card,15.47,0.0,Completed,Yolandastad,MA,US,0,2022.0,2022-04,Friday
104,2581.0,2023-02-09,2023-02-10,2023-02-15,Mobile App,Cash,0.6,0.0,Completed,Port Steventon,MI,US,0,2023.0,2023-02,Thursday
105,1092.0,2024-10-29,2024-11-01,2024-11-04,Social Commerce,Credit Card,13.25,0.0,Completed,Smithhaven,PA,US,0,2024.0,2024-10,Tuesday
106,2009.0,2024-06-05,2024-06-11,2024-06-15,In-Store,Cash,18.03,0.0,Completed,New Edwardville,MD,US,0,2024.0,2024-06,Wednesday
107,3222.0,2024-12-29,,,Mobile App,BNPL,21.84,47.67,Completed,Stacyville,VA,US,0,2024.0,2024-12,Sunday
108,2338.0,2024-12-02,2024-12-05,2024-12-15,Online,Debit Card,15.54,40.14,Completed,West Andreland,VA,US,0,2024.0,2024-12,Monday
109,6323.0,2024-03-23,2024-03-27,2024-03-31,In-Store,Gift Card,18.83,0.0,Refunded,Lake Spencer,NY,US,0,2024.0,2024-03,Saturday
110,7614.0,2022-08-31,2022-09-07,2022-09-12,Wholesale,Debit Card,17.92,0.0,Shipped,Steventown,GA,US,0,2022.0,2022-08,Wednesday
111,680.0,2024-03-08,2024-03-14,2024-03-21,In-Store,Apple Pay,16.64,82.77,Processing,Clarkburgh,IN,US,0,2024.0,2024-03,Friday
112,6381.0,2022-03-04,2022-03-06,2022-03-13,In-Store,Credit Card,13.51,16.78,Completed,Glennport,FL,US,0,2022.0,2022-03,Friday
113,7128.0,2024-12-26,2024-12-31,2025-01-04,Wholesale,Credit Card,22.33,0.0,Completed,Laraport,NJ,US,0,2024.0,2024-12,Thursday
114,4151.0,2022-07-12,2022-07-19,2022-07-24,Wholesale,Cash,21.44,24.06,Shipped,Johnsonstad,IL,US,0,2022.0,2022-07,Tuesday
115,9805.0,2024-08-16,2024-08-21,2024-08-29,In-Store,Cash,16.97,0.0,Completed,Christopherview,AZ,US,0,2024.0,2024-08,Friday
116,8464.0,2023-03-20,2023-03-23,2023-03-28,Online,PayPal,22.36,0.0,Shipped,Brandonchester,FL,US,0,2023.0,2023-03,Monday
117,8704.0,2024-02-02,2024-02-06,2024-02-12,Online,Cash,3.32,0.0,Refunded,Duranburgh,AZ,US,0,2024.0,2024-02,Friday
118,8174.0,2023-03-03,2023-03-05,2023-03-13,Social Commerce,Cash,19.48,51.23,Completed,East Loriton,GA,US,0,2023.0,2023-03,Friday
119,3920.0,2024-06-10,2024-06-11,2024-06-18,Online,Debit Card,24.81,37.8,Completed,Henrychester,OH,US,0,2024.0,2024-06,Monday
120,4648.0,2022-11-25,2022-12-01,,Online,Gift Card,17.6,0.0,Processing,Mccallside,PA,US,0,2022.0,2022-11,Friday
121,1169.0,2022-02-06,2022-02-12,2022-02-20,Online,PayPal,21.39,0.0,Completed,New Ashley,NY,US,0,2022.0,2022-02,Sunday
122,333.0,2022-09-22,2022-09-24,2022-10-03,Mobile App,PayPal,9.73,14.2,Completed,Thorntonchester,TN,US,0,2022.0,2022-09,Thursday
123,6999.0,2024-12-31,,,Wholesale,Cash,4.84,0.0,Processing,South Francisco,NJ,US,0,2024.0,2024-12,Tuesday
124,1291.0,2023-12-06,2023-12-08,2023-12-16,Mobile App,Credit Card,21.03,0.0,Completed,Danielleshire,MI,US,0,2023.0,2023-12,Wednesday
125,1756.0,2022-09-19,2022-09-24,2022-09-27,Wholesale,BNPL,20.36,0.0,Completed,North Christopher,OH,US,0,2022.0,2022-09,Monday
126,9571.0,2022-07-13,2022-07-17,,Social Commerce,Debit Card,24.68,0.0,Shipped,Sandovalstad,OH,US,0,2022.0,2022-07,Wednesday
127,1233.0,2024-03-29,2024-04-04,2024-04-14,Social Commerce,Debit Card,18.11,0.0,Completed,South Lisaborough,VA,US,0,2024.0,2024-03,Friday
128,3620.0,2023-07-15,2023-07-19,2023-07-23,In-Store,Gift Card,5.35,27.22,Completed,New Michelle,PA,US,0,2023.0,2023-07,Saturday
129,900.0,2022-12-10,2022-12-14,2022-12-18,Social Commerce,Gift Card,10.69,0.0,Shipped,Romeroburgh,MI,US,0,2022.0,2022-12,Saturday
130,8217.0,2024-09-27,2024-10-01,2024-10-08,Mobile App,Debit Card,4.27,80.29,Shipped,Kaylahaven,WA,US,0,2024.0,2024-09,Friday
131,7537.0,2022-06-26,2022-07-02,2022-07-10,Online,Debit Card,7.79,97.54,Completed,Phelpsborough,WA,US,0,2022.0,2022-06,Sunday
132,8401.0,2024-10-29,2024-11-01,2024-11-05,In-Store,BNPL,3.24,47.61,Completed,Lake Chad,AZ,US,0,2024.0,2024-10,Tuesday
133,4252.0,2022-05-30,2022-06-01,2022-06-10,Wholesale,BNPL,1.7,0.33,Completed,South Zachary,MO,US,0,2022.0,2022-05,Monday
134,7756.0,2023-09-08,2023-09-13,2023-09-20,Online,Apple Pay,5.57,0.0,Completed,Port Jeremy,WA,US,0,2023.0,2023-09,Friday
135,8287.0,2024-05-26,2024-06-01,2024-06-10,Social Commerce,BNPL,1.79,0.0,Completed,Jaredfurt,AZ,US,0,2024.0,2024-05,Sunday
136,4130.0,2023-01-22,2023-01-27,2023-02-04,Wholesale,Debit Card,24.37,13.22,Shipped,West Kimberly,OH,US,0,2023.0,2023-01,Sunday
137,5883.0,2022-02-18,2022-02-20,2022-02-23,Social Commerce,Debit Card,12.16,25.72,Cancelled,Duncanbury,AZ,US,0,2022.0,2022-02,Friday
138,7913.0,2024-02-02,2024-02-04,2024-02-09,Online,Apple Pay,4.03,44.27,Completed,Port Jeffmouth,PA,US,0,2024.0,2024-02,Friday
139,7602.0,2023-12-15,2023-12-20,2023-12-30,Social Commerce,Credit Card,5.24,49.81,Completed,Wesleyborough,TX,US,0,2023.0,2023-12,Friday
140,2617.0,2022-10-04,2022-10-07,2022-10-15,Social Commerce,BNPL,2.37,10.08,Processing,East Dawnfurt,PA,US,0,2022.0,2022-10,Tuesday
141,6094.0,2023-09-11,,,Social Commerce,Gift Card,0.08,45.01,Completed,East Christophershire,WA,US,0,2023.0,2023-09,Monday
142,2730.0,2023-11-28,2023-12-01,2023-12-10,Online,Apple Pay,10.86,0.0,Completed,New Traci,AZ,US,0,2023.0,2023-11,Tuesday
143,7143.0,2024-06-01,2024-06-03,2024-06-08,Mobile App,BNPL,22.6,12.43,Shipped,Lake Robertport,OH,US,0,2024.0,2024-06,Saturday
144,1370.0,2022-01-20,2022-01-25,2022-02-01,Social Commerce,Cash,4.82,26.51,Cancelled,Ortizhaven,VA,US,0,2022.0,2022-01,Thursday
145,9385.0,2023-11-01,2023-11-04,2023-11-12,Online,Debit Card,4.95,106.27,Completed,New Elizabethview,IN,US,0,2023.0,2023-11,Wednesday
146,6638.0,2023-10-12,2023-10-14,2023-10-17,Social Commerce,Credit Card,11.23,0.0,Completed,Williamshire,IL,US,0,2023.0,2023-10,Thursday
147,4863.0,2022-09-18,2022-09-24,2022-10-01,Mobile App,Gift Card,22.85,0.0,Refunded,East Kimberly,OH,US,0,2022.0,2022-09,Sunday
148,4429.0,2022-07-01,2022-07-05,,Wholesale,Cash,19.45,114.22,Completed,South Annette,PA,US,0,2022.0,2022-07,Friday
149,5075.0,2023-04-16,2023-04-19,2023-04-25,Wholesale,Credit Card,21.03,0.0,Completed,Thomasmouth,NC,US,0,2023.0,2023-04,Sunday
150,9484.0,2023-04-08,2023-04-12,2023-04-15,Wholesale,Debit Card,18.25,73.16,Completed,Hickshaven,NJ,US,0,2023.0,2023-04,Saturday
151,5452.0,2024-01-14,2024-01-21,2024-01-27,Wholesale,BNPL,20.48,5.45,Completed,Kramerburgh,MI,US,0,2024.0,2024-01,Sunday
152,4690.0,2023-11-26,2023-12-03,2023-12-13,Mobile App,Gift Card,7.32,0.0,Completed,Steelemouth,TN,US,0,2023.0,2023-11,Sunday
153,3374.0,2022-04-10,2022-04-11,2022-04-14,Social Commerce,Apple Pay,37.629999999999995,68.21,Completed,East Robert,FL,US,0,2022.0,2022-04,Sunday
154,7397.0,,2024-10-05,,Online,Debit Card,6.09,0.0,Completed,New Helenmouth,MD,US,0,,,
155,6001.0,2022-11-04,2022-11-07,2022-11-13,Wholesale,Gift Card,4.69,0.0,Completed,Port Richardside,NJ,US,0,2022.0,2022-11,Friday
156,1641.0,2024-01-01,2024-01-07,2024-01-10,Wholesale,Gift Card,0.15,3.75,Completed,Dwayneshire,WA,US,0,2024.0,2024-01,Monday
157,9733.0,2022-02-23,2022-02-27,2022-03-09,Wholesale,Apple Pay,4.85,0.0,Completed,Braunstad,WA,US,0,2022.0,2022-02,Wednesday
158,7007.0,2023-04-19,2023-04-23,2023-04-30,Wholesale,Cash,2.26,0.0,Completed,South Mark,GA,US,0,2023.0,2023-04,Wednesday
159,9658.0,2024-08-01,2024-08-07,2024-08-15,Online,Credit Card,14.23,0.0,Completed,West James,MA,US,0,2024.0,2024-08,Thursday
160,3309.0,2023-11-24,,,Social Commerce,Debit Card,11.37,3.01,Completed,Michaelhaven,TX,US,0,2023.0,2023-11,Friday
161,7799.0,2022-11-30,2022-12-05,,Mobile App,Gift Card,11.42,0.0,Completed,West Nicholas,NY,US,0,2022.0,2022-11,Wednesday
162,1523.0,2023-10-26,2023-11-01,2023-11-11,In-Store,Apple Pay,3.2,11.14,Shipped,Dennismouth,IN,US,0,2023.0,2023-10,Thursday
163,7978.0,2022-10-07,2022-10-12,2022-10-16,In-Store,PayPal,15.06,0.0,Shipped,Ryanside,MI,US,0,2022.0,2022-10,Friday
164,3852.0,2023-03-07,,,In-Store,Apple Pay,10.47,0.0,Completed,North Christian,WI,US,0,2023.0,2023-03,Tuesday
165,5252.0,2024-09-01,2024-09-08,2024-09-14,Online,Apple Pay,14.7,32.01,Processing,Charlesview,NJ,US,0,2024.0,2024-09,Sunday
166,2260.0,2022-08-20,2022-08-22,,In-Store,Cash,17.8,38.53,Completed,New Monicahaven,CA,US,0,2022.0,2022-08,Saturday
167,3017.0,2022-09-30,2022-10-06,2022-10-11,Wholesale,BNPL,17.78,0.0,Cancelled,South Elizabeth,NJ,US,0,2022.0,2022-09,Friday
168,4774.0,2022-07-03,2022-07-05,2022-07-12,Mobile App,PayPal,19.47,11.27,Completed,New Ashleyfort,MI,US,0,2022.0,2022-07,Sunday
169,677.0,2022-12-14,2022-12-21,2022-12-29,Online,Cash,7.92,59.55,Completed,East Teresaton,NC,US,0,2022.0,2022-12,Wednesday
170,9427.0,2022-10-03,2022-10-07,2022-10-15,Social Commerce,Gift Card,9.6,103.2,Shipped,North Michael,IL,US,0,2022.0,2022-10,Monday
171,4279.0,2023-05-19,2023-05-24,2023-05-30,Wholesale,Debit Card,10.72,0.0,Completed,Port Gregoryside,VA,US,0,2023.0,2023-05,Friday
172,2588.0,2024-02-25,2024-02-27,2024-03-05,In-Store,Credit Card,10.15,70.75,Completed,Jonathanhaven,WA,US,0,2024.0,2024-02,Sunday
173,1232.0,2023-01-03,2023-01-04,2023-01-11,Social Commerce,BNPL,1.86,6.13,On Hold,North Martha,IL,US,0,2023.0,2023-01,Tuesday
174,7793.0,2022-03-15,2022-03-20,2022-03-27,Mobile App,BNPL,16.94,0.0,Completed,Matthewville,IL,US,0,2022.0,2022-03,Tuesday
175,2036.0,2023-05-30,2023-06-02,2023-06-08,Online,Debit Card,0.36,39.57,Processing,New Victoriamouth,NJ,US,0,2023.0,2023-05,Tuesday
176,3959.0,2024-09-16,2024-09-21,2024-10-01,Mobile App,Credit Card,10.76,50.06,On Hold,Gardnertown,NC,US,0,2024.0,2024-09,Monday
